,Name,Description
0,ENSG00000223972.5,DDX11L1
1,ENSG00000227232.5,WASH7P
2,ENSG00000278267.1,MIR6859-1
3,ENSG00000243485.5,MIR1302-2HG
4,ENSG00000237613.2,FAM138A
5,ENSG00000268020.3,OR4G4P
6,ENSG00000240361.1,OR4G11P
7,ENSG00000186092.4,OR4F5
8,ENSG00000238009.6,RP11-34P13.7
9,ENSG00000233750.3,CICP27
10,ENSG00000268903.1,RP11-34P13.15
11,ENSG00000269981.1,RP11-34P13.16
12,ENSG00000239906.1,RP11-34P13.14
13,ENSG00000241860.6,RP11-34P13.13
14,ENSG00000222623.1,RNU6-1100P
15,ENSG00000241599.1,RP11-34P13.9
16,ENSG00000279928.2,ABC7-43046700E7.1
17,ENSG00000279457.4,RP11-34P13.18
18,ENSG00000273874.1,MIR6859-2
19,ENSG00000228463.9,AP006222.2
20,ENSG00000236679.2,RPL23AP24
21,ENSG00000236743.1,RP5-857K21.15
22,ENSG00000236601.2,RP4-669L17.2
23,ENSG00000237094.11,RP4-669L17.10
24,ENSG00000269732.1,WBP1LP7
25,ENSG00000278566.1,OR4F29
26,ENSG00000233653.3,CICP7
27,ENSG00000250575.1,RP4-669L17.8
28,ENSG00000278757.1,U6
29,ENSG00000230021.8,RP5-857K21.4
30,ENSG00000235146.2,RP5-857K21.2
31,ENSG00000225972.1,MTND1P23
32,ENSG00000225630.1,MTND2P28
33,ENSG00000237973.1,MTCO1P12
34,ENSG00000229344.1,MTCO2P12
35,ENSG00000240409.1,MTATP8P1
36,ENSG00000248527.1,MTATP6P1
37,ENSG00000198744.5,MTCO3P12
38,ENSG00000268663.1,WBP1LP6
39,ENSG00000273547.1,OR4F16
40,ENSG00000283574.1,RP11-206L10.17
41,ENSG00000229376.3,CICP3
42,ENSG00000228327.3,RP11-206L10.2
43,ENSG00000223181.1,RNU6-1199P
44,ENSG00000229905.1,RP11-206L10.4
45,ENSG00000237491.8,RP11-206L10.9
46,ENSG00000230092.7,RP11-206L10.8
47,ENSG00000177757.2,FAM87B
48,ENSG00000228794.8,LINC01128
49,ENSG00000225880.5,LINC00115
50,ENSG00000230368.2,FAM41C
51,ENSG00000234711.1,TUBB8P11
52,ENSG00000283040.1,FAM166AP3
53,ENSG00000272438.1,RP11-54O7.16
54,ENSG00000230699.2,RP11-54O7.1
55,ENSG00000241180.1,RP11-54O7.2
56,ENSG00000223764.2,RP11-54O7.3
57,ENSG00000187634.11,SAMD11
58,ENSG00000188976.10,NOC2L
59,ENSG00000187961.13,KLHL17
60,ENSG00000187583.10,PLEKHN1
61,ENSG00000187642.9,PERM1
62,ENSG00000272512.1,RP11-54O7.17
63,ENSG00000188290.10,HES4
64,ENSG00000187608.8,ISG15
65,ENSG00000231702.2,RP11-54O7.10
66,ENSG00000224969.1,RP11-54O7.11
67,ENSG00000188157.14,AGRN
68,ENSG00000217801.9,RP11-465B22.3
69,ENSG00000273443.1,RP11-54O7.18
70,ENSG00000237330.2,RNF223
71,ENSG00000131591.17,C1orf159
72,ENSG00000223823.1,LINC01342
73,ENSG00000207730.3,MIR200B
74,ENSG00000207607.3,MIR200A
75,ENSG00000198976.1,MIR429
76,ENSG00000272141.1,RP11-465B22.8
77,ENSG00000205231.1,TTLL10-AS1
78,ENSG00000162571.13,TTLL10
79,ENSG00000186891.13,TNFRSF18
80,ENSG00000186827.10,TNFRSF4
81,ENSG00000078808.16,SDF4
82,ENSG00000176022.4,B3GALT6
83,ENSG00000184163.3,C1QTNF12
84,ENSG00000260179.1,RP5-902P8.12
85,ENSG00000160087.20,UBE2J2
86,ENSG00000230415.1,LINC01786
87,ENSG00000162572.20,SCNN1D
88,ENSG00000131584.18,ACAP3
89,ENSG00000278073.1,MIR6726
90,ENSG00000169972.11,PUSL1
91,ENSG00000127054.20,INTS11
92,ENSG00000283712.1,MIR6727
93,ENSG00000240731.1,RP5-890O3.9
94,ENSG00000224051.6,CPTP
95,ENSG00000169962.4,TAS1R3
96,ENSG00000107404.19,DVL1
97,ENSG00000284372.1,MIR6808
98,ENSG00000162576.16,MXRA8
99,ENSG00000175756.13,AURKAIP1
100,ENSG00000223663.2,NDUFB4P8
101,ENSG00000221978.11,CCNL2
102,ENSG00000224870.6,RP4-758J18.2
103,ENSG00000242485.5,MRPL20
104,ENSG00000272455.1,RP4-758J18.13
105,ENSG00000235098.8,ANKRD65
106,ENSG00000225905.1,RP4-758J18.7
107,ENSG00000205116.3,TMEM88B
108,ENSG00000225285.1,LINC01770
109,ENSG00000179403.11,VWA1
110,ENSG00000215915.9,ATAD3C
111,ENSG00000160072.19,ATAD3B
112,ENSG00000197785.13,ATAD3A
113,ENSG00000205090.8,TMEM240
114,ENSG00000160075.11,SSU72
115,ENSG00000215014.4,RP5-832C2.5
116,ENSG00000274481.1,RP11-345P4.11
117,ENSG00000228594.3,FNDC10
118,ENSG00000272106.1,RP11-345P4.9
119,ENSG00000197530.12,MIB2
120,ENSG00000189409.13,MMP23B
121,ENSG00000248333.8,CDK11B
122,ENSG00000272004.1,RP11-345P4.10
123,ENSG00000189339.11,SLC35E2B
124,ENSG00000269737.2,RP11-345P4.6
125,ENSG00000215914.4,MMP23A
126,ENSG00000008128.22,CDK11A
127,ENSG00000227775.3,RP1-283E3.4
128,ENSG00000215790.6,SLC35E2
129,ENSG00000008130.15,NADK
130,ENSG00000078369.17,GNB1
131,ENSG00000231050.1,RP1-140A9.1
132,ENSG00000169885.9,CALML6
133,ENSG00000178821.12,TMEM52
134,ENSG00000142609.17,CFAP74
135,ENSG00000233542.1,RP11-547D24.1
136,ENSG00000187730.8,GABRD
137,ENSG00000226969.1,RP11-547D24.3
138,ENSG00000067606.16,PRKCZ
139,ENSG00000271806.1,RP5-892K4.1
140,ENSG00000182873.5,PRKCZ-AS1
141,ENSG00000162585.16,FAAP20
142,ENSG00000234396.3,RP11-181G12.4
143,ENSG00000157933.9,SKI
144,ENSG00000116151.13,MORN1
145,ENSG00000272161.1,RP4-713A8.1
146,ENSG00000269896.2,RP4-740C4.5
147,ENSG00000272420.1,RP4-740C4.7
148,ENSG00000157916.19,RER1
149,ENSG00000157911.9,PEX10
150,ENSG00000149527.17,PLCH2
151,ENSG00000224387.1,RP3-395M20.2
152,ENSG00000229393.1,RP3-395M20.3
153,ENSG00000157881.13,PANK4
154,ENSG00000197921.5,HES5
155,ENSG00000272449.1,RP3-395M20.12
156,ENSG00000238164.6,RP3-395M20.8
157,ENSG00000157873.17,TNFRSF14
158,ENSG00000225931.3,RP3-395M20.7
159,ENSG00000228037.1,RP3-395M20.9
160,ENSG00000157870.14,FAM213B
161,ENSG00000142606.15,MMEL1
162,ENSG00000237058.1,RP13-436F16.1
163,ENSG00000215912.12,TTC34
164,ENSG00000283259.1,ABC14-1188822O7.1
165,ENSG00000233234.1,RP11-740P5.2
166,ENSG00000231630.1,RP11-740P5.3
167,ENSG00000169717.6,ACTRT2
168,ENSG00000177133.10,LINC00982
169,ENSG00000142611.16,PRDM16
170,ENSG00000283572.1,MIR4251
171,ENSG00000226286.1,RP1-163G9.2
172,ENSG00000279839.1,RP11-193J6.1
173,ENSG00000272235.1,RP11-22L13.1
174,ENSG00000130762.14,ARHGEF16
175,ENSG00000272088.1,RP11-168F9.2
176,ENSG00000162591.15,MEGF6
177,ENSG00000207776.1,MIR551A
178,ENSG00000238260.1,RP11-46F15.2
179,ENSG00000158109.14,TPRG1L
180,ENSG00000116213.15,WRAP73
181,ENSG00000078900.14,TP73
182,ENSG00000227589.1,RP5-1092A11.5
183,ENSG00000235131.1,RP5-1092A11.2
184,ENSG00000227372.11,TP73-AS1
185,ENSG00000162592.9,CCDC27
186,ENSG00000235169.7,SMIM1
187,ENSG00000130764.9,LRRC47
188,ENSG00000266075.2,RN7SL574P
189,ENSG00000272153.1,RP1-286D6.5
190,ENSG00000116198.12,CEP104
191,ENSG00000169598.15,DFFB
192,ENSG00000198912.10,C1orf174
193,ENSG00000236423.5,LINC01134
194,ENSG00000233304.6,LINC01346
195,ENSG00000226374.2,LINC01345
196,ENSG00000229280.1,EEF1DP6
197,ENSG00000235054.3,LINC01777
198,ENSG00000227169.2,RP1-37J18.1
199,ENSG00000232596.2,LINC01646
200,ENSG00000196581.10,AJAP1
201,ENSG00000231510.1,RP11-542C10.1
202,ENSG00000260972.1,RP1-58B11.1
203,ENSG00000283356.1,RP3-491M17.1
204,ENSG00000236948.2,RP11-154H17.1
205,ENSG00000264341.1,MIR4417
206,ENSG00000264101.1,MIR4689
207,ENSG00000131697.17,NPHP4
208,ENSG00000069424.14,KCNAB2
209,ENSG00000116254.17,CHD5
210,ENSG00000116251.9,RPL22
211,ENSG00000226944.1,RP1-120G22.11
212,ENSG00000158286.12,RNF207
213,ENSG00000116237.15,ICMT
214,ENSG00000225077.2,LINC00337
215,ENSG00000173673.7,HES3
216,ENSG00000158292.6,GPR153
217,ENSG00000097021.19,ACOT7
218,ENSG00000069812.11,HES2
219,ENSG00000187017.15,ESPN
220,ENSG00000265392.1,MIR4252
221,ENSG00000231868.1,RP1-202O8.2
222,ENSG00000215788.9,TNFRSF25
223,ENSG00000171680.21,PLEKHG5
224,ENSG00000162408.10,NOL9
225,ENSG00000253022.1,RNU6-731P
226,ENSG00000229519.2,RP11-58A11.2
227,ENSG00000173662.20,TAS1R1
228,ENSG00000204859.12,ZBTB48
229,ENSG00000162413.16,KLHL21
230,ENSG00000116273.5,PHF13
231,ENSG00000041988.15,THAP3
232,ENSG00000007923.15,DNAJC11
233,ENSG00000228750.6,LINC01672
234,ENSG00000237436.1,RP11-312B8.1
235,ENSG00000171735.18,CAMTA1
236,ENSG00000227950.1,RP11-312B8.2
237,ENSG00000237365.1,RP11-334N17.1
238,ENSG00000207056.1,RNU1-8P
239,ENSG00000237402.1,CAMTA1-IT1
240,ENSG00000237728.2,RP3-453P22.2
241,ENSG00000225126.1,RP4-549F15.1
242,ENSG00000270171.1,RP11-338N10.1
243,ENSG00000270035.1,RP11-338N10.2
244,ENSG00000269978.1,RP11-338N10.3
245,ENSG00000049245.12,VAMP3
246,ENSG00000269925.1,RP3-467L1.6
247,ENSG00000049246.14,PER3
248,ENSG00000236266.1,RP3-467L1.4
249,ENSG00000049247.13,UTS2
250,ENSG00000049249.8,TNFRSF9
251,ENSG00000270330.1,RP5-892F13.2
252,ENSG00000116288.12,PARK7
253,ENSG00000200344.1,Y_RNA
254,ENSG00000116285.12,ERRFI1
255,ENSG00000238290.1,RP11-431K24.1
256,ENSG00000232848.1,CTA-215D11.4
257,ENSG00000229305.1,RP11-431K24.2
258,ENSG00000227634.2,LINC01714
259,ENSG00000200975.1,RNU1-7P
260,ENSG00000233645.1,RP11-431K24.4
261,ENSG00000251977.1,RNU6-991P
262,ENSG00000162426.14,SLC45A1
263,ENSG00000252254.1,Y_RNA
264,ENSG00000142599.17,RERE
265,ENSG00000232912.5,RP5-1115A15.1
266,ENSG00000221083.1,SNORA77
267,ENSG00000270282.1,RP5-1115A15.2
268,ENSG00000234619.1,RPL7P11
269,ENSG00000224315.2,RPL7P7
270,ENSG00000222511.2,Y_RNA
271,ENSG00000226545.1,RP4-633I8.3
272,ENSG00000228423.2,RP4-633I8.4
273,ENSG00000229716.2,RPL23AP19
274,ENSG00000074800.13,ENO1
275,ENSG00000274258.1,MIR6728
276,ENSG00000236269.1,ENO1-IT1
277,ENSG00000230679.1,ENO1-AS1
278,ENSG00000201725.1,RNU6-304P
279,ENSG00000238249.2,HMGN2P17
280,ENSG00000232208.2,RP3-477M7.5
281,ENSG00000232663.2,RP3-477M7.6
282,ENSG00000131686.14,CA6
283,ENSG00000265141.2,RN7SL451P
284,ENSG00000197241.3,SLC2A7
285,ENSG00000142583.17,SLC2A5
286,ENSG00000252404.1,SCARNA16
287,ENSG00000180758.11,GPR157
288,ENSG00000228526.6,MIR34AHG
289,ENSG00000234546.3,LINC01759
290,ENSG00000281937.1,RP3-510D11.4
291,ENSG00000049239.12,H6PD
292,ENSG00000171621.13,SPSB1
293,ENSG00000252956.1,RNA5SP40
294,ENSG00000235263.1,RP13-392I16.1
295,ENSG00000171612.6,SLC25A33
