"Name","State","ID","Hostname","precision","save_dir","tissues_to_train","alpha","experiment_name","fold","genes_for_training","genes_for_valid","genes_for_test","gradient_clip_val","learning_rate","max_epochs","num_individuals_per_gene","seed","seq_length","train_donor_path","valid_donor_path","test_donor_path","mean_loss_test_genes_across_test_donors","mean_pearsonr_across_test_genes_across_test_donors","mean_r2_across_test_genes_across_test_donors"
"FinalPaperWholeBlood_Fold-0_SingleGene_RWDD2B","finished","ge8i0h82","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/RWDD2B/Fold-0/ge8i0h82","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""RWDD2B""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_HLA-DQA1","finished","exq139qj","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/HLA-DQA1/Fold-0/exq139qj","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""HLA-DQA1""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_ENOPH1","finished","eqbfh9i2","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/ENOPH1/Fold-0/eqbfh9i2","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""ENOPH1""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_RNGTT","finished","pzop8jg1","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/RNGTT/Fold-0/pzop8jg1","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""RNGTT""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_CCDC6","finished","0dy0suor","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/CCDC6/Fold-0/0dy0suor","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""CCDC6""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_DTNBP1","finished","aflfpaeo","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/DTNBP1/Fold-0/aflfpaeo","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""DTNBP1""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_CNTLN","finished","9d4nid0o","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/CNTLN/Fold-0/9d4nid0o","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""CNTLN""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_ZNF3","finished","zoy8hadc","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/ZNF3/Fold-0/zoy8hadc","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""ZNF3""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_PDGFC","finished","hongqbzl","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/PDGFC/Fold-0/hongqbzl","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""PDGFC""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
"FinalPaperWholeBlood_Fold-0_SingleGene_TOP1MT","finished","qi05lye5","arrietty-h100-gpu03.gladstone.internal","bf16-mixed","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../results/FinalPaperWholeBlood/SingleGene/TOP1MT/Fold-0/qi05lye5","[""Whole Blood""]","0.5","FinalPaperWholeBlood","0","[""TOP1MT""]","[]","[]","0.05","0.000005","150","128","0","49152","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-train-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-val-fold0.txt","/pollard/data/projects/sdrusinsky/enformer_fine_tuning/performer/./../data/cross_validation_folds/gtex/cv_folds/person_ids-test-fold0.txt","","",""
