seqnames,starts,ends,set,gene_name,gene_start,diff_next,diff_prev
chr1,825623,1022231,train,SAMD11,923927,35382.0,inf
chr1,861005,1057613,train,NOC2L,959309,1277.0,35382.0
chr1,862282,1058890,train,KLHL17,960586,5910.0,1277.0
chr1,868192,1064800,train,PLEKHN1,966496,15597.0,5910.0
chr1,883789,1080397,train,PERM1,982093,18079.0,15597.0
chr1,901868,1098476,train,HES4,1000172,965.0,18079.0
chr1,902833,1099441,train,ISG15,1001137,18985.0,965.0
chr1,921818,1118426,train,AGRN,1020122,54185.0,18985.0
chr1,976003,1172611,train,RNF223,1074307,42054.0,54185.0
chr1,1018057,1214665,train,C1orf159,1116361,62827.0,42054.0
chr1,1080884,1277492,train,TTLL10,1179188,27503.0,62827.0
chr1,1108387,1304995,train,TNFRSF18,1206691,7441.0,27503.0
chr1,1115828,1312436,train,TNFRSF4,1214132,17899.0,7441.0
chr1,1133727,1330335,train,SDF4,1232031,233.0,17899.0
chr1,1133960,1330568,train,B3GALT6,1232264,14458.0,233.0
chr1,1148418,1345026,train,C1QTNF12,1246722,27163.0,14458.0
chr1,1175581,1372189,train,UBE2J2,1273885,6550.0,27163.0
chr1,1182131,1378739,train,SCNN1D,1280435,27583.0,6550.0
chr1,1209714,1406322,train,ACAP3,1308018,548.0,27583.0
chr1,1210262,1406870,train,PUSL1,1308566,16125.0,548.0
chr1,1226387,1422995,train,INTS11/CPTP,1324691/1324755,64.0,16125.0
chr1,1233009,1429617,train,TAS1R3,1331313,18037.0,6558.0
chr1,1251046,1447654,train,DVL1,1349350,12427.0,18037.0
chr1,1263473,1460081,train,MXRA8,1361777,13718.0,12427.0
chr1,1277191,1473799,train,AURKAIP1,1375495,23833.0,13718.0
chr1,1301024,1497632,train,CCNL2,1399328,7985.0,23833.0
chr1,1309009,1505617,train,MRPL20,1407313,14456.0,7985.0
chr1,1323465,1520073,train,ANKRD65,1421769,4358.0,14456.0
chr1,1327823,1524431,train,TMEM88B,1426127,8733.0,4358.0
chr1,1336556,1533164,train,VWA1,1434860,14828.0,8733.0
chr1,1351384,1547992,train,ATAD3C,1449688,22080.0,14828.0
chr1,1373464,1570072,train,ATAD3B,1471768,40382.0,22080.0
chr1,1413846,1610454,train,ATAD3A,1512150,28303.0,40382.0
chr1,1442149,1638757,train,TMEM240,1540453,34416.0,28303.0
chr1,1476565,1673173,train,SSU72,1574869,25227.0,34416.0
chr1,1501792,1698400,train,FNDC10,1600096,15782.0,25227.0
chr1,1517574,1714182,train,MIB2,1615878,16216.0,15782.0
chr1,1533790,1730398,train,MMP23B,1632094,26918.0,16216.0
chr1,1560708,1757316,train,CDK11B,1659012,33716.0,26918.0
chr1,1594424,1791032,train,SLC35E2B,1692728,31596.0,33716.0
chr1,1626020,1822628,train,CDK11A,1724324,21668.0,31596.0
chr1,1647688,1844296,train,SLC35E2,1745992,34465.0,21668.0
chr1,1682153,1878761,train,NADK,1780457,110660.0,34465.0
chr1,1792813,1989421,train,GNB1,1891117,23709.0,110660.0
chr1,1816522,2013130,train,CALML6,1914826,4447.0,23709.0
chr1,1820969,2017577,train,TMEM52,1919273,84564.0,4447.0
chr1,1905533,2102141,train,CFAP74,2003837,15460.0,84564.0
chr1,1920993,2117601,train,GABRD,2019297,31172.0,15460.0
chr1,1952165,2148773,train,PRKCZ,2050469,162251.0,31172.0
chr1,2114416,2311024,train,FAAP20,2212720,15974.0,162251.0
chr1,2130390,2326998,train,SKI,2228694,163013.0,15974.0
chr1,2293403,2490011,train,MORN1,2391707,67.0,163013.0
chr1,2293470,2490078,train,RER1,2391774,22023.0,67.0
chr1,2315493,2512101,train,PEX10,2413797,12182.0,22023.0
chr1,2327675,2524283,train,PLCH2,2425979,100649.0,12182.0
chr1,2428324,2624932,train,PANK4,2526628,3617.0,100649.0
chr1,2431941,2628549,train,HES5,2530245,26451.0,3617.0
chr1,2458392,2655000,train,TNFRSF14,2556696,29794.0,26451.0
chr1,2488186,2684794,train,FAM213B,2586490,46500.0,29794.0
chr1,2534686,2731294,train,MMEL1,2632990,168727.0,46500.0
chr1,2703413,2900021,train,TTC34,2801717,219765.0,168727.0
chr1,2923178,3119786,train,ACTRT2,3021482,47685.0,219765.0
chr1,2970863,3167471,train,PRDM16,3069167,385258.0,47685.0
chr1,3356121,3552729,train,ARHGEF16,3454425,157070.0,385258.0
chr1,3513191,3709799,train,MEGF6,3611495,13506.0,157070.0
chr1,3526697,3723305,train,TPRG1L,3625001,27518.0,13506.0
chr1,3554215,3750823,train,TP73,3652519,242.0,27518.0
chr1,3554457,3751065,train,WRAP73,3652761,99636.0,242.0
chr1,3654093,3850701,train,CCDC27,3752397,20390.0,99636.0
chr1,3674483,3871091,train,SMIM1,3772787,23717.0,20390.0
chr1,3698200,3894808,train,LRRC47,3796504,60710.0,23717.0
chr1,3758910,3955518,train,CEP104/DFFB,3857214/3857266,52.0,60710.0
chr1,3801981,3998589,train,C1orf174,3900285,754446.0,43019.0
chr1,4556427,4753035,train,AJAP1,4654731,1336734.0,754446.0
chr1,5893161,6089769,train,KCNAB2,5991465,897.0,1336734.0
chr1,5894058,6090666,train,NPHP4,5992362,187761.0,897.0
chr1,6081819,6278427,train,CHD5,6180123,26052.0,187761.0
chr1,6107871,6304479,train,RNF207,6206175,3214.0,26052.0
chr1,6111085,6307693,train,RPL22,6209389,26583.0,3214.0
chr1,6137668,6334276,train,ICMT,6235972,8219.0,26583.0
chr1,6145887,6342495,train,HES3,6244191,16784.0,8219.0
chr1,6162671,6359279,train,GPR153,6260975,132579.0,16784.0
chr1,6295250,6491858,train,ACOT7,6393554,31116.0,132579.0
chr1,6326366,6522974,train,HES2,6424670,117.0,31116.0
chr1,6326483,6523091,train,ESPN,6424787,41304.0,117.0
chr1,6367787,6564395,train,TNFRSF25,6466091,53970.0,41304.0
chr1,6421757,6618365,train,PLEKHG5,6520061,34474.0,53970.0
chr1,6456231,6652839,train,NOL9,6554535,645.0,34474.0
chr1,6456876,6653484,train,TAS1R1,6555180,24820.0,645.0
chr1,6481696,6678304,train,ZBTB48,6580000,33684.0,24820.0
chr1,6515380,6711988,train,PHF13,6613684,923.0,33684.0
chr1,6516303,6712911,train,KLHL21,6614607,10258.0,923.0
chr1,6526561,6723169,train,THAP3,6624865,77059.0,10258.0
chr1,6603620,6800228,train,DNAJC11,6701924,83399.0,77059.0
chr1,6687019,6883627,train,CAMTA1,6785323,985945.0,83399.0
chr1,7672964,7869572,train,VAMP3,7771268,13051.0,985945.0
chr1,7686015,7882623,train,PER3,7784319,69193.0,13051.0
chr1,7755208,7951816,train,UTS2,7853512,89653.0,69193.0
chr1,7844861,8041469,train,TNFRSF9,7943165,11125.0,89653.0
chr1,7855986,8052594,train,PARK7,7954290,72018.0,11125.0
chr1,7928004,8124612,train,ERRFI1,8026308,291517.0,72018.0
chr1,8219521,8416129,train,SLC45A1,8317825,499818.0,291517.0
chr1,8719339,8915947,train,RERE,8817643,61606.0,499818.0
chr1,8780945,8977553,train,ENO1,8879249,66617.0,61606.0
chr1,8847562,9044170,train,CA6,8945866,80479.0,66617.0
chr1,8928041,9124649,train,SLC2A7,9026345,62133.0,80479.0
chr1,8990174,9186782,train,SLC2A5,9088478,40692.0,62133.0
chr1,9030866,9227474,train,GPR157,9129170,105604.0,40692.0
chr1,9136470,9333078,train,H6PD,9234774,58105.0,105604.0
chr1,9194575,9391183,train,SPSB1,9292879,246602.0,58105.0
chr1,9441177,9637785,train,SLC25A33,9539481,49440.0,246602.0
chr1,9490617,9687225,train,TMEM201,9588921,62810.0,49440.0
chr1,9553427,9750035,train,PIK3CD,9651731,172795.0,62810.0
chr1,9726222,9922830,train,CLSTN1,9824526,85810.0,172795.0
chr1,9812032,10008640,train,CTNNBIP1,9910336,33071.0,85810.0
chr1,9845103,10041711,train,LZIC/NMNAT1,9943407/9943427,20.0,33071.0
chr1,9898901,10095509,train,RBP7,9997205,35626.0,53778.0
chr1,9934527,10131135,train,UBE4B,10032831,177973.0,35626.0
chr1,10112500,10309108,train,KIF1B,10210804,187787.0,177973.0
chr1,10300287,10496895,train,PGD,10398591,32191.0,187787.0
chr1,10332478,10529086,train,CENPS,10430782,18936.0,32191.0
chr1,10351414,10548022,train,CORT,10449718,22808.0,18936.0
chr1,10374222,10570830,train,DFFA,10472526,2360.0,22808.0
chr1,10376582,10573190,train,PEX14,10474886,321764.0,2360.0
chr1,10698346,10894954,train,CASZ1,10796650,185387.0,321764.0
chr1,10883733,11080341,train,C1orf127,10982037,30306.0,185387.0
chr1,10914039,11110647,train,TARDBP,11012343,34890.0,30306.0
chr1,10948929,11145537,train,MASP2,11047233,12791.0,34890.0
chr1,10961720,11158328,train,SRM,11060024,38132.0,12791.0
chr1,10999852,11196460,train,EXOSC10,11098156,91184.0,38132.0
chr1,11091036,11287644,train,ANGPTL7,11189340,73167.0,91184.0
chr1,11164203,11360811,train,MTOR,11262507,10698.0,73167.0
chr1,11174901,11371509,train,UBIAD1,11273205,205960.0,10698.0
chr1,11380861,11577469,train,DISP3,11479165,175691.0,205960.0
chr1,11556552,11753160,train,FBXO44,11654856,929.0,175691.0
chr1,11557481,11754089,train,FBXO2,11655785,8338.0,929.0
chr1,11565819,11762427,train,FBXO6,11664123,27527.0,8338.0
chr1,11593346,11789954,train,MAD2L2,11691650,78.0,27527.0
chr1,11593424,11790032,train,DRAXIN,11691728,44355.0,78.0
chr1,11637779,11834387,train,AGTRAP,11736083,25703.0,44355.0
chr1,11663482,11860090,train,C1orf167,11761786,45134.0,25703.0
chr1,11708616,11905224,train,MTHFR,11806920,210.0,45134.0
chr1,11708826,11905434,train,CLCN6,11807130,41215.0,210.0
chr1,11750041,11946649,train,NPPA,11848345,10586.0,41215.0
chr1,11760627,11957235,train,NPPB,11858931,67497.0,10586.0
chr1,11828124,12024732,train,KIAA2013,11926428,7776.0,67497.0
chr1,11835900,12032508,train,PLOD1,11934204,45976.0,7776.0
chr1,11881876,12078484,train,MFN2,11980180,39285.0,45976.0
chr1,11921161,12117769,train,MIIP,12019465,43911.0,39285.0
chr1,11965072,12161680,train,TNFRSF8,12063376,103662.0,43911.0
chr1,12068734,12265342,train,TNFRSF1B,12167038,63028.0,103662.0
chr1,12131762,12328370,train,VPS13D,12230066,387665.0,63028.0
chr1,12519427,12716035,train,DHRS3,12617731,26815.0,387665.0
chr1,12546242,12742850,train,AADACL4,12644546,71568.0,26815.0
chr1,12617810,12814418,train,AADACL3,12716114,30100.0,71568.0
chr1,12647910,12844518,train,C1orf158,12746214,28626.0,30100.0
chr1,12676536,12873144,train,PRAMEF12,12774840,16556.0,28626.0
chr1,12693092,12889700,train,PRAMEF1,12791396,40014.0,16556.0
chr1,12733106,12929714,train,PRAMEF11,12831410,17315.0,40014.0
chr1,12750421,12947029,train,HNRNPCL1,12848725,8360.0,17315.0
chr1,12758781,12955389,train,PRAMEF2,12857085,29116.0,8360.0
chr1,12787897,12984505,train,PRAMEF4,12886201,12069.0,29116.0
chr1,12799966,12996574,train,PRAMEF10,12898270,18339.0,12069.0
chr1,12818305,13014913,train,PRAMEF7,12916609,30971.0,18339.0
chr1,12849276,13045884,train,PRAMEF6,12947580,337594.0,30971.0
chr1,13186870,13383478,train,PRAMEF8,13285174,18364.0,337594.0
chr1,13205234,13401842,train,PRAMEF33,13303538,12042.0,18364.0
chr1,13217276,13413884,train,PRAMEF15,13315580,31554.0,12042.0
chr1,13248830,13445438,train,PRAMEF14,13347134,24559.0,31554.0
chr1,13273389,13469997,train,PRAMEF19,13371693,17938.0,24559.0
chr1,13291327,13487935,train,PRAMEF17,13389631,20818.0,17938.0
chr1,13312145,13508753,train,PRAMEF20,13410449,103599.0,20818.0
chr1,13415744,13612352,train,LRRC38,13514048,69416.0,103599.0
chr1,13485160,13681768,train,PDPN,13583464,116733.0,69416.0
chr1,13601893,13798501,train,PRDM2,13700197,192594.0,116733.0
chr1,13794487,13991095,train,KAZN,13892791,1259740.0,192594.0
chr1,15054227,15250835,train,TMEM51,15152531,94740.0,1259740.0
chr1,15148967,15345575,train,FHAD1,15247271,162623.0,94740.0
chr1,15311590,15508198,train,EFHD2,15409894,28544.0,162623.0
chr1,15340134,15536742,train,CTRC,15438438,18289.0,28544.0
chr1,15358423,15555031,train,CELA2A,15456727,9181.0,18289.0
chr1,15367604,15564212,train,CELA2B,15465908,60626.0,9181.0
chr1,15428230,15624838,train,CASP9,15526534,278.0,60626.0
chr1,15428508,15625116,train,DNAJC16,15526812,58298.0,278.0
chr1,15486806,15683414,train,AGMAT,15585110,32389.0,58298.0
chr1,15519195,15715803,train,DDI2,15617499,66832.0,32389.0
chr1,15586027,15782635,train,PLEKHM2,15684331,52073.0,66832.0
chr1,15638100,15834708,train,SLC25A34,15736404,6017.0,52073.0
chr1,15644117,15840725,train,TMEM82,15742421,14185.0,6017.0
chr1,15658302,15854910,train,FBLIM1,15756606,52742.0,14185.0
chr1,15711044,15907652,train,UQCRHL,15809348,38515.0,52742.0
chr1,15749559,15946167,train,SPEN,15847863,128269.0,38515.0
chr1,15877828,16074436,train,ZBTB17,15976132,28103.0,128269.0
chr1,15905931,16102539,train,C1orf64,16004235,14639.0,28103.0
chr1,15920570,16117178,train,CLCNKA,16018874,720.0,14639.0
chr1,15921290,16117898,train,HSPB7,16019594,24141.0,720.0
chr1,15945431,16142039,train,CLCNKB,16043735,29897.0,24141.0
chr1,15975328,16171936,train,FAM131C,16073632,82455.0,29897.0
chr1,16057783,16254391,train,EPHA2,16156087,56522.0,82455.0
chr1,16114305,16310913,train,ARHGEF19,16212609,24553.0,56522.0
chr1,16138858,16335466,train,RSG1,16237162,115292.0,24553.0
chr1,16254150,16450758,train,FBXO42,16352454,120.0,115292.0
chr1,16254270,16450878,train,SZRD1,16352574,84850.0,120.0
chr1,16339120,16535728,train,SPATA21,16437424,3247.0,84850.0
chr1,16342367,16538975,train,NECAP2,16440671,98394.0,3247.0
chr1,16440761,16637369,train,FAM231B,16539065,382884.0,98394.0
chr1,16823645,17020253,train,CROCC,16921949,58886.0,382884.0
chr1,16882531,17079139,train,MFAP2,16980835,31093.0,58886.0
chr1,16913624,17110232,train,ATP13A2,17011928,42242.0,31093.0
chr1,16955866,17152474,train,SDHB,17054170,65265.0,42242.0
chr1,17021131,17217739,train,PADI2,17119435,85690.0,65265.0
chr1,17106821,17303429,train,PADI1,17205125,43972.0,85690.0
chr1,17150793,17347401,train,PADI3,17249097,59097.0,43972.0
chr1,17209890,17406498,train,PADI4,17308194,64001.0,59097.0
chr1,17273891,17470499,train,PADI6,17372195,67529.0,64001.0
chr1,17341420,17538028,train,RCC2,17439724,100110.0,67529.0
chr1,17441530,17638138,train,ARHGEF10L,17539834,215478.0,100110.0
